,UID,UIN,Name,HW,Quiz,E1,E2,E3,E4
467,axgdjflfqkz@school.edu,8065387807,Gjwuoxh Oxkshjyrr,72.875,67.8,80.0,68.0,73.0,65.0
468,kynjlmgwqb@school.edu,5256832831,Qsttnt Kgwagbfldb,79.5,77.2,99.0,100.0,90.0,99.0
469,dwlymerclsk@school.edu,1561391036,Ewzydvnsm Achqwngiu,84.625,83.4,68.0,62.0,66.0,88.0
470,qdnowc@school.edu,5308078558,Flvbflbocn Eumjd,83.875,76.2,82.0,73.0,99.0,72.0
471,feeol@school.edu,7961422307,Mhgmctuuwt Blwwix,84.75,79.8,98.0,91.0,92.0,65.0
472,nkzfhtgwx@school.edu,5351686902,Cjewxew Ysubvdcd,86.5,85.0,86.0,99.0,71.0,80.0
473,zkqoq@school.edu,8745461918,Dtqfsv Iqxkwpp,76.125,74.8,70.0,73.0,86.0,66.0
474,jswlvvnwnspa@school.edu,5598782083,Dejlbvmdcw Vsvvnr,71.25,81.6,78.0,60.0,56.0,80.0
475,xjjcnb@school.edu,7881487487,Sapnmfil Kmkxtwxtt,76.25,80.2,87.0,93.0,97.0,96.0
476,yfksrobombcya@school.edu,2482418213,Fboiahzw Irklgo,88.875,86.6,98.0,86.0,100.0,60.0
477,nysuqg@school.edu,7473905110,Hkype Txqgvcgb,82.25,76.2,86.0,73.0,85.0,72.0
478,plsuu@school.edu,8404478754,Temac Vugvhkx,83.375,89.2,66.0,61.0,94.0,85.0
479,nfeck@school.edu,4832432701,Ksiyr Ouqlqwqo,85.5,72.2,76.0,69.0,81.0,82.0
480,lwahashevvr@school.edu,8221622760,Xsdmhhy Ejelijdddo,71.375,79.6,99.0,55.0,62.0,55.0
481,isrnazkytyslf@school.edu,6419054703,Vhhjk Krnfulqr,78.625,87.8,72.0,89.0,65.0,50.0
482,hfxiydjmpxw@school.edu,8266814232,Iqqbe Xefmquist,79.5,74.2,90.0,100.0,95.0,69.0
483,qlywoktbpbo@school.edu,1345848417,Jejafhwj Jyaxfk,80.625,75.2,54.0,63.0,82.0,86.0
484,jdway@school.edu,4620971968,Hnfnicjs Wkjrklmp,73.75,69.8,93.0,81.0,68.0,56.0
485,vofmqytaalxqy@school.edu,1807152282,Mbopylf Zdlioho,76.125,67.0,62.0,53.0,98.0,76.0
486,vptbxdmahi@school.edu,3728044676,Hmrlmm Njsldipqrv,75.625,73.4,72.0,83.0,90.0,56.0
487,wjdzrsrsne@school.edu,7837132780,Ubifqz Vjuogvtbt,87.875,78.8,88.0,95.0,81.0,75.0
488,uldjfzn@school.edu,7090737384,Lxivibblhe Ztbuv,77.75,71.6,87.0,54.0,81.0,55.0
489,jyviedrfyb@school.edu,9750730543,Pzwlqgbonp Rzptbp,82.375,66.6,80.0,82.0,94.0,58.0
490,gfyzq@school.edu,1579961881,Cejqxldh Ucopuyi,82.875,80.0,77.0,95.0,100.0,95.0
491,brtnnlam@school.edu,7638110626,Npqwn Rfannjlkf,79.625,90.0,86.0,88.0,62.0,91.0
492,qagqz@school.edu,1455981107,Ccdibg Wwpqfalq,78.25,78.4,72.0,61.0,64.0,77.0
493,mzeedghxiw@school.edu,5738876486,Qmpnyk Ncxdn,77.875,80.0,59.0,56.0,76.0,52.0
494,mrfjism@school.edu,7990754692,Wxgamnprmi Ujdfahmuiq,72.625,76.8,56.0,75.0,81.0,67.0
495,pdiuxgl@school.edu,5754654601,Femyg Owoyh,75.0,77.2,96.0,55.0,91.0,95.0
496,ckgfl@school.edu,5726277581,Gnufgp Ehiojilkng,91.5,88.0,98.0,90.0,58.0,87.0
497,lgkljvuwweyi@school.edu,2177531994,Xhsnyfva Lredcbpyiq,83.75,67.0,93.0,64.0,78.0,62.0
498,beggwqo@school.edu,2244937331,Bzashvmvk Fpfyce,83.25,77.2,61.0,93.0,51.0,86.0
499,akzwjdjxf@school.edu,8281341377,Onywen Rxlpe,82.125,68.8,58.0,92.0,100.0,73.0
500,slcmfwbamurqe@school.edu,3448339583,Trgwcvt Rdaetktz,78.25,77.2,59.0,67.0,69.0,94.0
501,shvkeu@school.edu,3523054469,Eaeqlhlox Ycbeplnfw,84.25,66.6,52.0,98.0,61.0,94.0
502,qidpmhbzpdhj@school.edu,5211733144,Mjsrfdvbe Basyfm,74.375,85.0,60.0,93.0,98.0,83.0
503,atephsmz@school.edu,1297991309,Qggfnogza Hlvdggqi,80.875,73.8,93.0,96.0,82.0,52.0
504,fsshbm@school.edu,5847426600,Ulkexutvmf Cvpqcgbhw,79.125,74.4,75.0,96.0,93.0,50.0
505,juiepvtbknpfn@school.edu,7675718853,Ujqjg Knuxu,83.375,73.6,77.0,92.0,83.0,80.0
506,emkkgprqt@school.edu,3296100407,Udyff Ikzhsztdkw,80.75,71.6,53.0,83.0,57.0,80.0
507,txiaucmqrvpeb@school.edu,1923163605,Obygktxx Zqaafrntu,80.625,73.2,87.0,93.0,93.0,56.0
508,ypgtsi@school.edu,5096659334,Swyuqsyh Azxibje,88.625,79.6,85.0,82.0,50.0,80.0
509,pierczdocuqjj@school.edu,8499130701,Rtxxuceex Vpkuio,79.125,74.6,56.0,100.0,75.0,81.0
510,lqfdtcyvy@school.edu,4331071202,Zoacxpipr Zvyupxnvb,80.0,88.4,93.0,62.0,74.0,65.0
511,deztupngt@school.edu,2681039542,Zwflfpvi Rhsrn,83.0,78.2,56.0,76.0,68.0,86.0
512,kdehnfpegoc@school.edu,4177615113,Lajipyfc Xvxcu,75.375,84.8,78.0,60.0,84.0,78.0
513,jbqeomd@school.edu,6937598887,Tvcukvfgod Yqqihxxmi,80.25,78.4,61.0,92.0,55.0,52.0
514,efzqrlggd@school.edu,5321123594,Lnbjkjp Zajgig,76.0,88.8,95.0,60.0,96.0,75.0
515,bnbfbpzkw@school.edu,9178418077,Pkfqgvyd Qicunxgeyp,80.125,81.4,78.0,75.0,70.0,80.0
516,szxfyqpyvwro@school.edu,5609706485,Pajpjw Oppsspv,77.5,85.8,84.0,96.0,53.0,61.0
517,qarhaujqf@school.edu,6021423721,Ktshq Ktjntbq,86.0,78.0,65.0,57.0,79.0,79.0
518,jqegsjzymz@school.edu,8128567027,Aefvag Weeuu,78.0,79.6,52.0,55.0,88.0,84.0
519,wwxxrassoauo@school.edu,9186929632,Stiqorot Bcozwbxkg,76.25,81.6,66.0,66.0,94.0,82.0
520,twifbpldnr@school.edu,9250867410,Dafhczhglj Aucatqj,81.125,77.8,54.0,51.0,71.0,75.0
521,rusbwhmwr@school.edu,2668770183,Yizyv Yxrqxxor,72.375,77.8,74.0,63.0,68.0,65.0
522,remaixiec@school.edu,6954354196,Xglxsncpr Qsozzpd,79.875,84.6,61.0,88.0,59.0,63.0
523,snnqufryinfo@school.edu,1001884087,Jmbuetfok Kvnsmqh,78.375,74.4,87.0,94.0,55.0,52.0
524,nymuvxhl@school.edu,6488170038,Lmwlewivmh Mymfojy,81.5,69.0,94.0,79.0,96.0,78.0
525,uxyshjjpvfhew@school.edu,3156624748,Advvnhf Yxforzs,80.75,64.6,74.0,63.0,56.0,88.0
526,oqbfmui@school.edu,3318031388,Tzgqi Qlrdvvoge,78.125,74.2,82.0,78.0,52.0,93.0
527,mniok@school.edu,6626607972,Dthzy Oejii,86.875,62.8,73.0,51.0,53.0,79.0
528,uslwmq@school.edu,3835883690,Aupwbq Xakffyufeb,77.25,81.6,62.0,88.0,52.0,69.0
529,ezbrrwu@school.edu,5546896102,Sjwecb Suxnxb,89.125,76.8,77.0,81.0,73.0,72.0
530,xwauykgkv@school.edu,9839119624,Flhpyrd Wzskkmkhi,80.5,70.0,70.0,78.0,78.0,71.0
531,tquby@school.edu,6969345877,Eqyxb Nvwxzs,71.5,75.6,87.0,68.0,54.0,87.0
532,rnnoieljplw@school.edu,6584816709,Ixebu Wafkmfe,78.5,79.6,59.0,80.0,54.0,73.0
533,yyjwfl@school.edu,8251986225,Ouyijapbr Exukkpam,81.5,82.8,97.0,53.0,55.0,76.0
534,wtjdflzxlco@school.edu,2692600557,Peulxoun Hvphnkxu,74.125,85.6,64.0,60.0,81.0,66.0
535,frpjmxwxaif@school.edu,6951558747,Maeyell Lkddh,82.25,82.2,78.0,62.0,74.0,94.0
536,idrezkn@school.edu,8532850400,Yfchlfc Ovhvcn,78.5,75.0,73.0,85.0,89.0,75.0
537,nprgdemvmuah@school.edu,3640130913,Shpkkmb Jvipsydqc,74.375,85.0,86.0,94.0,94.0,87.0
538,rboodgkpoz@school.edu,8960085708,Dlrtiqhql Ctksdviua,78.375,84.6,100.0,97.0,66.0,94.0
539,odejqfzrpjflu@school.edu,9997280644,Zzjwjmnoaa Kpefqyk,79.5,75.2,64.0,56.0,83.0,97.0
540,naooxl@school.edu,9431684791,Ptmgvodogy Witbpdfq,74.875,76.0,98.0,56.0,68.0,59.0
541,jhdebcmp@school.edu,1367023684,Oaakjfzvd Pphsfp,83.0,84.2,66.0,100.0,56.0,80.0
542,cvclscdxzff@school.edu,3345892430,Onshur Nycfwuc,77.75,88.4,81.0,65.0,60.0,64.0
543,jiwziwldnm@school.edu,8081362564,Hcnask Rgjvgc,85.5,75.0,54.0,89.0,50.0,72.0
544,ehurwnrolsxtp@school.edu,1270993262,Tulno Zkseobancx,82.75,74.4,66.0,58.0,82.0,53.0
545,iafwekbmv@school.edu,4767105522,Aedfjcqv Wmlhho,79.0,72.0,67.0,65.0,68.0,53.0
546,wgcjdu@school.edu,4005338650,Depwdothyb Oiladm,87.25,81.8,50.0,61.0,80.0,59.0
547,bnmoq@school.edu,6700941681,Ulbjvzze Ufpwq,79.75,78.8,64.0,99.0,50.0,79.0
548,bxyupjfawjrvj@school.edu,8803688603,Vebmmqm Bldqmzkaue,81.0,79.6,56.0,69.0,66.0,85.0
549,urzfnzuppbba@school.edu,8288363325,Pcqeye Rckmfeepb,79.0,82.8,67.0,96.0,76.0,55.0
550,qgehmagixe@school.edu,9373210313,Wxxeexvozz Vopydzi,80.875,86.4,71.0,95.0,60.0,93.0
551,jwipbwmnskgmr@school.edu,9816922452,Ayrgod Pbhpr,72.125,59.8,61.0,63.0,64.0,92.0
552,vqhgeaqc@school.edu,1499001491,Ifyzvi Ryyjd,80.25,76.2,66.0,80.0,98.0,83.0
553,aazdaiadgbwkv@school.edu,2771705350,Wykjuhpwvt Amggj,77.375,77.0,90.0,89.0,92.0,86.0
554,hijllc@school.edu,5169314738,Ypthxh Vvegtde,82.875,73.8,68.0,64.0,93.0,69.0
555,sgmlidmestpf@school.edu,3638609631,Agjzijmt Hvovukffp,84.5,85.4,72.0,99.0,66.0,53.0
556,ybpbjbxfqmmke@school.edu,8907385110,Ezprg Eerhnev,79.25,75.8,54.0,75.0,70.0,56.0
557,picbeuaymphm@school.edu,3208182792,Axjhsszfvj Sucuzcrb,79.75,78.0,50.0,69.0,75.0,98.0
558,lldxr@school.edu,1529217396,Ogqqk Laufhb,77.0,91.0,86.0,90.0,57.0,62.0
559,cdbaqgmvg@school.edu,9391794680,Hcmcfbn Bgahbocgw,84.125,85.0,82.0,57.0,90.0,79.0
560,depco@school.edu,9748389792,Qstrahq Pvizyhijwp,78.625,79.2,83.0,58.0,78.0,70.0
561,qtypijdqoyj@school.edu,3428782584,Middh Dxnealvzb,78.875,78.6,67.0,68.0,75.0,84.0
562,earajpvknnbi@school.edu,7945544059,Edvhnwd Ncgkuz,82.5,77.8,75.0,62.0,78.0,56.0
563,nofhkqvvb@school.edu,2585537268,Vpmkcpfplh Vsmmxp,85.125,71.0,81.0,66.0,56.0,62.0
564,jzqnprit@school.edu,7911881459,Xrvrwbtkq Omvodlbpi,78.25,80.2,77.0,62.0,63.0,79.0
565,cewnb@school.edu,2338115131,Atcesv Zcvmxenj,74.125,76.4,69.0,91.0,77.0,76.0
566,ughlkilponqa@school.edu,2414482712,Eyfdddj Lvdka,75.25,74.2,62.0,73.0,51.0,93.0
567,lyyjan@school.edu,6186866552,Qhxbby Azianfj,75.125,73.6,72.0,100.0,68.0,86.0
568,evrqlwt@school.edu,2628869750,Xyqgeg Sibzziwouh,89.75,77.2,59.0,64.0,76.0,50.0
569,uyvky@school.edu,6196229297,Luaadodq Ehrchdjn,73.875,73.4,65.0,72.0,61.0,88.0
570,ltzljrf@school.edu,9407504368,Mxnscici Zzrntjp,83.0,81.2,100.0,72.0,63.0,86.0
571,zsvafybhyptd@school.edu,3338681258,Ihgrtqc Fzdmwt,80.25,85.2,69.0,92.0,76.0,59.0
572,bjgtnydcrf@school.edu,8965129284,Bmmfhfoko Ityqpnqeml,66.375,79.2,57.0,88.0,64.0,98.0
573,tbevdotx@school.edu,2460705364,Czbii Cgvos,77.125,70.8,76.0,59.0,59.0,52.0
574,upxawkpz@school.edu,1650907367,Nodypi Frltwtj,80.125,80.2,62.0,51.0,51.0,53.0
575,wostjvi@school.edu,3068798143,Wubyv Ivmmevzfx,78.5,62.4,84.0,72.0,77.0,58.0
576,crpbpgwqd@school.edu,4697590067,Ttmauxky Ghjjunc,91.25,87.0,96.0,51.0,50.0,69.0
577,ipzmgpjcvktmv@school.edu,9403869445,Jxmmgoyn Twimbah,86.375,82.4,56.0,56.0,91.0,50.0
578,oofdcoxkflan@school.edu,1827917811,Rozectiabb Klprvatnq,80.25,80.4,82.0,50.0,76.0,76.0
579,jdlupr@school.edu,9679284199,Mrhfqik Jqzipqitod,90.375,82.2,71.0,84.0,91.0,50.0
580,egraerkbgueeb@school.edu,1034054271,Jzllh Xiqahuj,83.375,77.0,72.0,52.0,98.0,68.0
581,fbtjrksqbsri@school.edu,1293366666,Mujxljwgn Pthfxb,74.75,76.2,79.0,85.0,84.0,94.0
582,pdohanmv@school.edu,1559162932,Apufejrpku Xrwvunver,76.75,73.4,92.0,86.0,58.0,69.0
583,bmhyci@school.edu,4501569907,Opmbgke Yjrlsch,74.75,83.8,68.0,83.0,76.0,100.0
584,mvvkwi@school.edu,3205162715,Mimfmuus Icabyx,78.375,68.0,79.0,85.0,68.0,57.0
585,gnuojvwcuuy@school.edu,2866138077,Crrmnlke Obxggrjr,73.0,81.0,68.0,97.0,64.0,50.0
586,jvlpkmr@school.edu,9678563580,Iczbwfanzv Ubdyae,76.0,74.4,72.0,73.0,72.0,86.0
587,zabokaroyxjgo@school.edu,5043100107,Pwvhpwzr Fvjqnebe,76.125,91.6,95.0,82.0,70.0,95.0
588,xhevfqcpyq@school.edu,1551730468,Muiesrc Mldqetgn,79.125,77.8,65.0,83.0,98.0,75.0
589,kexwlujw@school.edu,3791696181,Aycizwm Atgcbls,81.875,81.6,55.0,94.0,91.0,76.0
590,ahiewbvzefxx@school.edu,7054128013,Zkaelfykiv Lmbeso,85.0,85.0,52.0,75.0,95.0,87.0
591,bacgd@school.edu,7065479816,Lcvlntg Ppappw,88.125,83.2,59.0,89.0,91.0,84.0
592,kvnhlytaycbt@school.edu,2013702645,Cxwxfq Jfsajfm,72.5,85.2,54.0,59.0,98.0,80.0
593,omnbhsneofxi@school.edu,2283181760,Ugfzgbb Bvippn,74.25,74.2,86.0,99.0,62.0,55.0
594,turnluf@school.edu,5357517332,Gxhjcjhk Tfzynyg,83.375,67.6,96.0,68.0,65.0,78.0
595,eviakpflzwxf@school.edu,7069514140,Grgdttu Vdekoxvmo,78.75,88.4,76.0,84.0,70.0,87.0
596,byuwppjcenm@school.edu,6829337365,Fyupxmo Vvodwg,77.75,68.6,52.0,85.0,66.0,53.0
597,dtulob@school.edu,4137283368,Tyfkzqgo Gknmqghd,82.5,81.6,87.0,98.0,86.0,60.0
598,tsshknbun@school.edu,5935063325,Xmqlyh Yrrwoyo,81.0,69.0,60.0,62.0,97.0,79.0
599,rmqvity@school.edu,8165896110,Jzrmfze Pyuncvt,82.625,67.0,74.0,67.0,53.0,74.0
